                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1228,                 3.0343,                 3.7784,                0.01075,                0.67404,                0.03247,                0.00904,                 3.0449,                 4.1534,                 4.0673,             0.00041209,             0.00041209,             0.00041209
                      2,                 2.1737,                 1.9654,                 2.6243,                0.56909,                0.44817,                0.47671,                0.25451,                 1.6638,                 1.6932,                 2.6423,             0.00081235,             0.00081235,             0.00081235
                      3,                 1.7092,                 1.5861,                  2.135,                0.35027,                0.70228,                0.58997,                0.21013,                 1.8439,                 2.1644,                 2.7845,              0.0011961,              0.0011961,              0.0011961
                      4,                 1.5338,                 1.3897,                  1.931,                0.26734,                  0.369,                0.29106,                0.06141,                 2.4805,                 2.2692,                 3.2383,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.435,                 1.2794,                 1.8124,                0.56395,                0.67452,                 0.6659,                0.31966,                  1.847,                 1.5921,                 2.4144,               0.001151,               0.001151,               0.001151
                      6,                 1.3625,                 1.1982,                 1.7419,                0.61754,                0.70476,                0.72521,                 0.3395,                 1.7968,                 1.3547,                 2.5211,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.3314,                 1.1402,                 1.7063,                0.63007,                0.64561,                0.70683,                0.37644,                 1.7557,                 1.2679,                 2.3752,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.3005,                 1.1049,                 1.6729,                0.62756,                0.73972,                0.75619,                0.38971,                 1.7175,                 1.2914,                 2.2231,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2693,                 1.0676,                 1.6373,                0.56721,                0.71055,                0.71548,                0.38237,                 1.7167,                 1.2124,                 2.3041,               0.001052,               0.001052,               0.001052
                     10,                 1.2292,                 1.0067,                 1.5991,                0.68886,                0.72772,                 0.7487,                0.42117,                 1.7149,                 1.1795,                 2.3174,              0.0010273,              0.0010273,              0.0010273
                     11,                  1.205,                0.97842,                 1.5753,                0.59979,                0.56124,                0.65417,                0.31445,                 1.9149,                 1.3747,                 2.4776,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1941,                0.96287,                 1.5653,                0.64938,                 0.6153,                0.72538,                0.38028,                 1.7767,                 1.3307,                 2.2441,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1692,                 0.9352,                  1.543,                0.58638,                0.53446,                0.64892,                0.24755,                 2.0569,                 1.5671,                 2.5418,               0.000953,               0.000953,               0.000953
                     14,                 1.1577,                0.89985,                 1.5291,                0.64425,                0.56883,                0.70116,                0.32764,                  1.853,                 1.3459,                  2.354,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.1321,                0.87991,                  1.513,                0.66933,                0.60261,                0.71585,                0.36092,                 1.8768,                  1.226,                 2.4518,              0.0009035,              0.0009035,              0.0009035
                     16,                  1.125,                0.87499,                 1.5088,                0.65907,                0.57777,                0.69993,                0.27942,                 2.0116,                 1.3632,                 2.5576,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.1187,                0.85678,                 1.4983,                0.63732,                0.61784,                0.69386,                0.31378,                 1.7802,                 1.3748,                 2.3113,               0.000854,               0.000854,               0.000854
                     18,                 1.0814,                0.82479,                 1.4674,                0.62301,                0.52325,                0.65779,                 0.2851,                 1.9479,                 1.5109,                  2.464,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.0875,                0.82273,                 1.4671,                0.66334,                0.57881,                0.71029,                0.32528,                 1.9121,                 1.2877,                 2.4125,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.0735,                0.79638,                  1.462,                0.65177,                 0.5708,                0.68153,                0.29601,                 1.8874,                 1.3253,                 2.3579,             0.00077975,             0.00077975,             0.00077975
                     21,                  1.065,                0.78432,                  1.448,                0.66233,                0.57699,                0.67493,                0.27382,                 1.9407,                 1.3887,                 2.4678,               0.000755,               0.000755,               0.000755
                     22,                 1.0442,                0.78529,                 1.4323,                0.57635,                0.63407,                0.70876,                0.36427,                  1.838,                 1.3237,                 2.3866,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.0243,                0.75748,                 1.4271,                0.68431,                0.55452,                0.64615,                0.25585,                 2.0486,                   1.49,                 2.6308,              0.0007055,              0.0007055,              0.0007055
                     24,                  1.022,                0.76002,                 1.4256,                0.66132,                0.59042,                0.71853,                0.32045,                 1.8934,                 1.2927,                 2.4258,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.0135,                0.74043,                 1.4061,                0.65537,                0.64682,                0.69933,                0.27537,                 2.1192,                 1.3261,                 2.6752,               0.000656,               0.000656,               0.000656
