                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1549,                 3.0235,                 3.7736,                0.75529,                   0.25,                0.04464,                0.01677,                 3.4473,                 4.6736,                 3.9198,             0.00041152,             0.00041152,             0.00041152
                      2,                 2.0886,                  1.914,                 2.6443,                 0.5735,                0.39019,                0.42467,                0.16062,                 2.1984,                 1.8701,                 2.9071,             0.00081999,             0.00081999,             0.00081999
                      3,                 1.6808,                 1.5383,                 2.1737,                0.55262,                0.41581,                0.46864,                0.19492,                 1.9649,                 2.3801,                 2.7699,              0.0012202,              0.0012202,              0.0012202
                      4,                 1.5028,                  1.355,                 1.9692,                0.57272,                0.66507,                0.63089,                0.32925,                 1.6867,                 3.1011,                 2.4878,              0.0012129,              0.0012129,              0.0012129
                      5,                  1.395,                 1.2354,                 1.8534,                0.61715,                0.45491,                0.46266,                0.19272,                 1.8429,                 2.1708,                 2.7417,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.3569,                 1.1729,                 1.7909,                0.59893,                0.64635,                0.67836,                0.32804,                 1.7994,                 1.6187,                 2.5214,              0.0011881,              0.0011881,              0.0011881
                      7,                 1.2999,                 1.0913,                   1.73,                0.58338,                0.68993,                0.70112,                0.32827,                 1.9548,                 1.5526,                 2.7332,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.2536,                  1.047,                 1.6878,                0.51287,                0.81133,                0.72622,                0.37316,                 1.9831,                 1.4216,                 2.6025,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.2493,                 1.0175,                 1.6851,                0.75624,                0.84693,                0.81907,                0.43828,                 1.7561,                 1.0874,                 2.5649,               0.001151,               0.001151,               0.001151
                     10,                 1.2166,                0.98687,                 1.6506,                0.74123,                0.85126,                0.84329,                0.41983,                  1.817,                 1.1517,                 2.6011,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.1756,                  0.936,                  1.611,                0.66353,                0.85876,                0.79648,                0.38822,                 1.7803,                 1.1434,                 2.5357,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.1712,                0.91903,                 1.6041,                0.74853,                0.83675,                0.79944,                0.40827,                 1.7714,                 1.1188,                  2.544,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.1472,                0.87945,                 1.5857,                0.73334,                0.82297,                 0.8144,                0.38527,                 1.9446,                 1.1417,                  2.624,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.126,                0.86481,                 1.5607,                0.71539,                0.79046,                0.75229,                0.40791,                 1.8924,                0.99428,                 2.7273,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.1152,                0.84082,                 1.5562,                0.76487,                0.85194,                0.79824,                0.41557,                 1.8256,                 1.0718,                 2.6404,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.1053,                0.81807,                 1.5406,                0.76277,                0.83315,                0.80242,                0.37716,                 1.8764,                 1.0199,                 2.7043,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.0933,                0.80477,                 1.5345,                0.74456,                0.78184,                0.79496,                0.38937,                 1.8729,                  1.075,                  2.636,               0.001052,               0.001052,               0.001052
                     18,                 1.0744,                0.77905,                 1.5201,                0.78417,                 0.8152,                0.79784,                0.41946,                  1.892,                 0.9353,                 2.6848,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.0551,                0.77178,                 1.5035,                0.76253,                0.80686,                0.78283,                0.37878,                 1.9774,                0.95999,                 2.8409,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.0462,                0.74815,                 1.4921,                0.76445,                0.82436,                0.81478,                0.37423,                 1.8096,                0.89197,                 2.5502,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.0342,                0.74343,                  1.484,                0.76726,                0.74667,                0.77896,                0.38328,                 1.8579,                 1.0334,                 2.5662,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.0175,                0.72923,                 1.4728,                0.80235,                0.81639,                0.83749,                0.42918,                 1.8879,                0.92566,                 2.6408,             0.00099013,             0.00099013,             0.00099013
                     23,                  1.011,                0.72018,                 1.4682,                0.77249,                0.78838,                0.79037,                0.42325,                 1.9056,                 1.0166,                 2.7356,             0.00097775,             0.00097775,             0.00097775
                     24,                0.99633,                0.69896,                 1.4499,                 0.7532,                 0.7955,                0.78554,                0.39994,                 1.9613,                 1.0065,                 2.8922,             0.00096537,             0.00096537,             0.00096537
                     25,                0.99314,                0.70012,                 1.4464,                0.81711,                0.82421,                0.80907,                0.40663,                 1.9092,                0.98459,                 2.7652,               0.000953,               0.000953,               0.000953
                     26,                0.98875,                 0.6955,                 1.4538,                0.80005,                0.81884,                0.79285,                0.40278,                 1.9992,                 1.0366,                 2.7891,             0.00094062,             0.00094062,             0.00094062
                     27,                0.96259,                0.67892,                 1.4271,                0.77473,                0.79434,                0.78584,                0.41029,                 1.8827,                 1.0261,                 2.6873,             0.00092825,             0.00092825,             0.00092825
                     28,                0.95352,                0.65509,                 1.4113,                 0.7686,                0.83018,                0.77857,                0.38456,                  1.895,                0.93302,                   2.73,             0.00091588,             0.00091588,             0.00091588
                     29,                0.94797,                0.65579,                 1.4118,                0.78538,                0.81019,                0.79815,                0.38749,                 1.8449,                 1.0187,                 2.6641,              0.0009035,              0.0009035,              0.0009035
