                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0235,                 2.7354,                 3.6443,                0.01211,                0.68078,                0.09419,                0.02273,                 2.9747,                 3.5128,                 3.8955,             0.00041209,             0.00041209,             0.00041209
                      2,                 1.8619,                 1.6349,                 2.3688,                0.48326,                0.66666,                0.65034,                0.31342,                 1.9616,                 1.9407,                 2.6335,             0.00082465,             0.00082465,             0.00082465
                      3,                 1.5729,                 1.3744,                 2.0019,                0.82242,                0.57053,                0.79139,                0.42865,                 1.4708,                 1.4173,                 2.0797,              0.0012331,              0.0012331,              0.0012331
                      4,                 1.4482,                 1.2354,                 1.8504,                0.70621,                0.75614,                 0.8254,                0.46179,                  1.454,                 1.4457,                 2.0823,              0.0012314,              0.0012314,              0.0012314
                      5,                 1.3798,                 1.1657,                 1.7702,                0.77858,                0.77199,                0.81138,                0.46218,                 1.4278,                 1.3602,                 2.0562,              0.0012252,              0.0012252,              0.0012252
                      6,                 1.3028,                 1.1002,                 1.6988,                0.74809,                0.80573,                 0.8607,                0.52667,                  1.441,                 1.1684,                 2.0299,              0.0012191,              0.0012191,              0.0012191
                      7,                 1.2714,                 1.0528,                 1.6722,                0.78461,                0.86134,                0.89167,                0.53331,                  1.373,                0.94682,                 1.9425,              0.0012129,              0.0012129,              0.0012129
                      8,                 1.2289,                0.99728,                 1.6269,                0.77195,                0.87474,                0.89561,                 0.5664,                  1.321,                0.84347,                 1.9029,              0.0012067,              0.0012067,              0.0012067
                      9,                 1.1963,                0.95369,                 1.5974,                0.83157,                0.88935,                0.91017,                0.59183,                 1.2049,                 0.8154,                 1.7733,              0.0012005,              0.0012005,              0.0012005
                     10,                  1.175,                0.91938,                 1.5809,                0.69524,                0.87541,                0.89848,                0.54929,                 1.2966,                0.91612,                 1.8567,              0.0011943,              0.0011943,              0.0011943
                     11,                 1.1611,                 0.9087,                  1.566,                0.76455,                0.88139,                0.89288,                0.58874,                 1.1752,                0.80379,                 1.7728,              0.0011881,              0.0011881,              0.0011881
                     12,                 1.1339,                0.87985,                 1.5469,                 0.8729,                0.89831,                0.94255,                0.61311,                 1.2028,                0.75041,                 1.8396,              0.0011819,              0.0011819,              0.0011819
                     13,                 1.1254,                0.85286,                 1.5345,                0.87254,                0.87335,                0.93999,                0.62946,                 1.2407,                0.75052,                 1.8224,              0.0011757,              0.0011757,              0.0011757
                     14,                 1.1014,                0.83263,                 1.5209,                0.89606,                 0.9032,                0.95005,                0.63648,                 1.1883,                 0.7197,                 1.7559,              0.0011696,              0.0011696,              0.0011696
