                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9755,                 2.7208,                 3.5943,                0.01003,                0.67238,                0.03166,                0.00658,                  2.612,                 4.3526,                 4.1288,             0.00041237,             0.00041237,             0.00041237
                      2,                  1.792,                 1.6333,                 2.2841,                0.23073,                0.60196,                0.33739,                0.16369,                 2.1889,                 1.9803,                 2.8581,             0.00081262,             0.00081262,             0.00081262
                      3,                 1.5254,                 1.3677,                 1.9463,                0.39547,                0.61463,                0.45501,                0.21567,                 1.8879,                 2.0685,                 2.5172,              0.0011964,              0.0011964,              0.0011964
                      4,                 1.4107,                 1.2539,                 1.8169,                0.63578,                0.50964,                0.40271,                0.16332,                 1.9691,                 2.0996,                 2.6503,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3259,                  1.125,                 1.7172,                0.50094,                0.75713,                0.54035,                0.25278,                 1.8432,                 1.3818,                 2.5808,               0.001151,               0.001151,               0.001151
                      6,                 1.2706,                 1.0655,                 1.6669,                0.40687,                0.77978,                0.64819,                0.28246,                  1.817,                 1.4295,                 2.5253,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2261,                 1.0114,                 1.6341,                0.45509,                0.69858,                0.58366,                0.26783,                  1.775,                 1.4321,                 2.4484,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2067,                 0.9861,                 1.6121,                0.48679,                0.70234,                0.60698,                0.24746,                 1.9144,                 1.3134,                 2.5231,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.1708,                0.92909,                 1.5796,                 0.5191,                0.77829,                0.69206,                0.39796,                 1.7803,                 1.2931,                 2.4007,               0.001052,               0.001052,               0.001052
                     10,                 1.1316,                0.88138,                  1.543,                0.54872,                0.74313,                0.63789,                0.33398,                 1.8593,                 1.3999,                 2.5617,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1145,                0.85945,                  1.523,                0.58421,                0.76704,                0.74072,                0.39677,                 1.7892,                 1.3025,                 2.4475,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.0906,                0.82909,                 1.5041,                0.55313,                0.76461,                0.66201,                0.31792,                 1.8071,                 1.2108,                 2.5356,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.0754,                0.80616,                 1.4931,                0.46615,                0.60119,                0.56393,                0.26176,                  1.782,                 1.3283,                 2.5753,               0.000953,               0.000953,               0.000953
                     14,                 1.0514,                 0.7835,                 1.4763,                 0.5076,                0.76788,                0.63116,                0.33202,                 1.7269,                 1.2063,                 2.4823,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0275,                0.76449,                 1.4595,                0.61079,                0.76902,                0.75428,                0.36935,                 1.8161,                 1.1944,                 2.5031,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.0168,                0.74571,                 1.4424,                0.44742,                0.58365,                0.53435,                0.22533,                 1.8793,                 1.3849,                 2.6676,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.0012,                0.73376,                 1.4351,                0.52874,                0.71333,                0.64363,                0.30595,                 1.8599,                 1.1643,                 2.5057,               0.000854,               0.000854,               0.000854
                     18,                0.98924,                0.71191,                 1.4207,                0.50484,                 0.6786,                0.60339,                0.29794,                 1.7077,                  1.213,                 2.4316,             0.00082925,             0.00082925,             0.00082925
                     19,                0.98082,                0.70322,                 1.4223,                0.56816,                0.82375,                0.67099,                 0.3666,                 1.7986,                  1.099,                 2.5894,              0.0008045,              0.0008045,              0.0008045
                     20,                0.96554,                0.68291,                  1.399,                0.61077,                0.77346,                  0.681,                 0.3782,                 1.7721,                 1.0407,                 2.4941,             0.00077975,             0.00077975,             0.00077975
                     21,                0.94707,                0.66812,                 1.3949,                0.53636,                0.57486,                0.58113,                0.23188,                 2.0996,                 1.2105,                 2.9506,               0.000755,               0.000755,               0.000755
                     22,                0.93873,                0.66401,                 1.3954,                0.59438,                0.65563,                0.66732,                 0.3549,                  1.804,                 1.1438,                 2.6071,             0.00073025,             0.00073025,             0.00073025
                     23,                 0.9242,                 0.6488,                 1.3754,                0.60388,                0.75975,                0.65348,                0.30293,                 1.9892,                 1.2029,                 2.8323,              0.0007055,              0.0007055,              0.0007055
                     24,                0.90261,                0.62635,                 1.3604,                0.64596,                0.81718,                0.73832,                0.38747,                   1.84,                 1.0195,                 2.6918,             0.00068075,             0.00068075,             0.00068075
                     25,                0.90261,                0.63215,                 1.3682,                0.60289,                0.66727,                 0.6757,                0.36127,                 1.7925,                 1.1069,                 2.6252,               0.000656,               0.000656,               0.000656
                     26,                0.89052,                0.61595,                 1.3623,                0.55147,                 0.7718,                0.62551,                0.29824,                 1.8741,                 1.0827,                 2.7197,             0.00063125,             0.00063125,             0.00063125
                     27,                0.88682,                0.60548,                 1.3533,                0.54193,                0.70743,                0.60136,                0.31989,                 1.7761,                 1.0558,                 2.6263,              0.0006065,              0.0006065,              0.0006065
                     28,                0.86665,                0.59359,                 1.3375,                 0.5859,                0.68235,                0.65825,                0.31534,                 1.9268,                0.97404,                 2.8284,             0.00058175,             0.00058175,             0.00058175
                     29,                0.84763,                0.58142,                 1.3233,                 0.6343,                0.72404,                0.72853,                0.33808,                 1.9636,                 1.0386,                  2.815,               0.000557,               0.000557,               0.000557
                     30,                0.84693,                0.57768,                 1.3224,                0.57727,                0.67806,                 0.6539,                0.31771,                 1.8751,                 1.0765,                 2.7683,             0.00053225,             0.00053225,             0.00053225
                     31,                0.83348,                0.56405,                 1.3079,                0.59734,                0.72135,                0.69008,                0.30258,                 2.0566,                0.98789,                 2.9438,              0.0005075,              0.0005075,              0.0005075
