                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0079,                 2.7409,                 3.6317,                0.01937,                0.69901,                0.12155,                0.03201,                 2.6765,                 3.4466,                 3.9987,             0.00041209,             0.00041209,             0.00041209
                      2,                  1.843,                 1.6258,                 2.3604,                0.34669,                0.57807,                 0.5135,                0.24972,                 1.8009,                 2.0104,                 2.7701,             0.00081235,             0.00081235,             0.00081235
                      3,                 1.5604,                 1.3759,                 1.9994,                0.84984,                0.65978,                0.68149,                0.33539,                 1.7489,                 1.9909,                 2.6779,              0.0011961,              0.0011961,              0.0011961
                      4,                 1.4391,                 1.2386,                 1.8557,                0.53812,                 0.6294,                0.65567,                0.29819,                 1.7987,                 1.7157,                 2.6029,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.3604,                 1.1456,                 1.7589,                0.53139,                0.67628,                0.72644,                0.39613,                 1.6322,                 1.3701,                  2.323,               0.001151,               0.001151,               0.001151
                      6,                 1.2883,                 1.0821,                 1.6994,                0.60056,                0.62691,                0.65925,                0.25138,                 2.0472,                 1.4299,                 2.7807,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.2621,                 1.0345,                 1.6688,                0.62453,                0.68805,                0.70494,                 0.4062,                 1.7064,                 1.2668,                 2.5509,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.2348,                 1.0089,                 1.6416,                0.69313,                0.73028,                0.74203,                0.34618,                 1.8514,                 1.2819,                 2.6105,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.2013,                0.96786,                  1.608,                0.67283,                0.69869,                0.72825,                0.35101,                  1.771,                 1.2339,                 2.5099,               0.001052,               0.001052,               0.001052
                     10,                 1.1637,                0.91138,                 1.5749,                0.63892,                0.67578,                0.72983,                 0.3945,                 1.8153,                 1.2112,                 2.5986,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.1353,                0.88216,                 1.5501,                0.61769,                0.65918,                0.74507,                0.34562,                  1.753,                 1.2704,                 2.5062,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.1292,                0.86941,                 1.5443,                0.71766,                0.74925,                0.78359,                0.42875,                 1.5919,                 1.0179,                 2.3308,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.1115,                0.85337,                 1.5283,                0.63978,                0.57601,                0.70571,                0.27994,                 1.9547,                 1.3876,                 2.7346,               0.000953,               0.000953,               0.000953
                     14,                 1.0805,                0.80637,                 1.5039,                0.64198,                 0.6622,                0.74103,                0.35878,                 1.8053,                 1.2129,                 2.6086,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.0595,                0.78722,                 1.4867,                 0.6748,                0.67491,                0.73433,                 0.3722,                 1.7758,                 1.2225,                 2.6211,              0.0009035,              0.0009035,              0.0009035
